Size(sq.ft),Size(m2),Location,Price(HKD),Price(USD),HKD/sq.ft
5868.00,545.15,"Kowloon Tong, Hong Kong",178000000.00,22830813.00,30334.01
2720.00,252.69,"Sha Tin, Hong Kong",85000000.00,10902355.00,31250.00
2182.00,202.71,"Sha Tin, Hong Kong",69500000.00,8914278.00,31851.51
1764.00,163.88,"Kowloon Tong, Hong Kong",57000000.00,7310991.00,32312.93
1837.00,170.66,"Sai Kung, Hong Kong",51800000.00,6644023.00,28198.15
1290.00,119.84,"Mid-Levels, Hong Kong",41000000.00,5258783.00,31782.95
1482.00,137.68,"Shek Kip Mei, Hong Kong",38000000.00,4873994.00,25641.03
1104.00,102.56,"Ho Man Tin, Hong Kong",36500000.00,4681599.00,33061.59
1208.00,112.23,"Mid-levels West, Hong Kong",34000000.00,4360942.00,28145.70
1624.00,150.87,"Kowloon City, Hong Kong",33800000.00,4335289.00,20812.81
1195.00,111.02,"Ho Man Tin, Hong Kong",33000000.00,4232679.00,27615.06
1614.00,149.94,"Kowloon Tong, Hong Kong",33000000.00,4232679.00,20446.10
1659.00,154.12,Hong Kong,33000000.00,4232679.00,19891.50
916.00,85.10,"Kennedy Town, Hong Kong",32000000.00,4104416.00,34934.50
1353.00,125.70,"Ho Man Tin, Hong Kong",31000000.00,3976153.00,22912.05
1749.00,162.49,"Ho Man Tin, Hong Kong",30000000.00,3847890.00,17152.66
1359.00,126.25,"Mid-levels West, Hong Kong",29800000.00,3822237.00,21927.89
1359.00,126.25,"Mid-levels West, Hong Kong",29800000.00,3822237.00,21927.89
1383.00,128.48,"Ho Man Tin, Hong Kong",29800000.00,3822237.00,21547.36
942.00,87.51,"Mid-levels West, Hong Kong",29800000.00,3822237.00,31634.82
1104.00,102.56,"Ho Man Tin, Hong Kong",29000000.00,3719627.00,26268.12
1014.00,94.20,"Mid-Levels, Hong Kong",28500000.00,3655495.00,28106.51
1383.00,128.48,"Ho Man Tin, Hong Kong",27100000.00,3475927.00,19595.08
1155.00,107.30,"Shek Kip Mei, Hong Kong",27000000.00,3463101.00,23376.62
1592.00,147.90,"Sha Tin, Hong Kong",27000000.00,3463101.00,16959.80
1083.00,100.61,"Shek Kip Mei, Hong Kong",26800000.00,3437448.00,24746.08
1291.00,119.94,"Sha Tin, Hong Kong",26800000.00,3437448.00,20759.10
864.00,80.27,"Mid-levels West, Hong Kong",26800000.00,3437448.00,31018.52
1552.00,144.18,"Sha Tin, Hong Kong",26000000.00,3334838.00,16752.58
1227.00,113.99,"Tseung Kwan O, Hong Kong",25900000.00,3322012.00,21108.39
2029.00,188.50,"Sha Tin, Hong Kong",25880000.00,3319446.00,12755.05
1022.00,94.95,"Shek Kip Mei, Hong Kong",25800000.00,3309185.00,25244.62
863.00,80.17,"Mid-levels West, Hong Kong",25800000.00,3309185.00,29895.71
